02/18/25 11:41:07: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:41:11: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:41:11: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:41:11: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:41:11: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:41:11: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:41:11: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:41:11: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:41:11: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:41:11: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:41:11: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:41:11: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:41:11: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:42:03: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:42:03: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:42:03: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:42:03: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:42:03: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:42:03: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:42:03: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:42:03: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:42:03: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:42:03: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:42:03: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:42:03: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:42:14: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:42:14: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:42:14: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:42:14: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:42:14: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:42:14: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:42:14: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:42:14: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:42:14: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:42:14: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:42:14: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:42:14: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:43:24: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:43:24: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:43:24: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:43:24: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:43:24: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:43:24: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:43:24: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:43:24: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:43:24: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:43:24: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:43:24: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:43:24: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:43:25: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:43:25: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:43:25: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:43:25: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:43:25: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:43:25: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:43:25: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:43:25: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:43:25: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:43:25: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:43:25: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:43:25: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:44:04: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:44:04: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:44:04: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:44:04: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:44:04: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:44:04: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:44:04: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:44:04: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:44:04: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:44:04: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:44:04: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:44:04: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:44:27: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:44:27: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:44:27: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:44:27: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:44:27: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:44:27: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:44:27: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:44:27: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:44:27: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:44:27: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:44:27: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:44:27: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:45:28: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:45:28: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:45:28: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:45:28: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:45:28: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:45:28: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:45:28: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:45:28: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:45:28: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:45:28: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:45:28: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:45:28: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:46:05: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:46:05: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:46:05: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:46:05: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:46:05: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:46:05: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:46:05: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:46:05: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:46:05: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:46:05: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:46:05: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:46:05: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:46:29: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:46:29: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:46:29: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:46:29: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:46:29: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:46:29: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:46:29: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:46:29: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:46:29: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:46:29: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:46:29: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:46:29: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:47:38: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:47:38: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:47:38: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:47:38: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:47:38: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:47:38: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:47:38: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:47:38: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:47:38: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:47:38: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:47:38: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:47:38: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:48:06: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:48:06: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:48:06: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:48:06: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:48:06: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:48:06: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:48:06: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:48:06: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:48:06: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:48:06: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:48:06: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:48:06: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:48:38: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:48:38: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:48:38: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:48:38: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:48:38: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:48:38: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:48:38: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:48:38: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:48:38: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:48:38: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:48:38: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:48:38: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:49:48: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:49:48: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:49:48: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:49:48: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:49:48: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:49:48: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:49:48: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:49:48: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:49:48: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:49:48: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:49:48: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:49:48: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:50:07: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:50:07: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:50:07: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:50:07: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:50:07: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:50:07: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:50:07: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:50:07: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:50:07: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:50:07: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:50:07: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:50:07: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:50:46: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:50:46: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:50:46: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:50:46: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:50:46: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:50:46: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:50:46: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:50:46: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:50:46: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:50:46: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:50:46: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:50:46: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:51:47: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:51:47: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:51:47: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:51:47: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:51:47: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:51:47: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:51:47: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:51:47: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:51:47: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:51:47: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:51:47: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:51:47: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
02/18/25 11:52:08: block.scss - Undefined variable $heading_color: block.scss on line 17, at column 3
02/18/25 11:52:08: comments.scss - Undefined variable $divider_color: comments.scss on line 10, at column 9
02/18/25 11:52:08: default.scss - Undefined variable $md_max: default.scss on line 26, at column 5
02/18/25 11:52:08: elementor.scss - Undefined mixin animation: elementor.scss on line 62, at column 9
02/18/25 11:52:08: fonts.scss - Undefined variable $heading_font_family: fonts.scss on line 79, at column 5
02/18/25 11:52:08: footer.scss - Undefined variable $primary_color: footer.scss on line 12, at column 2
02/18/25 11:52:08: forms.scss - Undefined variable $heading_color: forms.scss on line 2, at column 1
02/18/25 11:52:08: functions.scss - Undefined variable $xxl_min: functions.scss on line 154, at column 2
02/18/25 11:52:08: layout.scss - Undefined variable $lg_max: layout.scss on line 7, at column 5
02/18/25 11:52:08: loading.scss - Undefined mixin d-flex: loading.scss on line 42, at column 5
02/18/25 11:52:08: media.scss - Undefined mixin center-block: media.scss on line 26, at column 9
02/18/25 11:52:08: tooltip.scss - Undefined mixin transform: tooltip.scss on line 44, at column 5
